Date,Price,Open,High,Low,Vol.,Change
2019-03-01,135.72,135.47,138.06,128.46,9.73,0
2019-03-02,132.76,135.72,136.36,130.74,11.29,-0.02
2019-03-03,131.01,132.77,168.42,129.05,10.64,-0.01
2019-03-04,125.97,131.02,131.57,123.25,14.11,-0.04
2019-03-05,136.82,125.97,141.11,125.44,16.74,0.09
2019-03-06,137.62,136.82,149.49,133.94,14.7,0.01
2019-03-07,136.93,137.62,139.98,135.72,13.29,-0.01
2019-03-08,133.85,136.93,139.45,131.66,12.38,-0.02
2019-03-09,137.52,133.84,138.57,133.38,10.79,0.03
2019-03-10,135.72,137.52,137.75,134.53,9.21,-0.01
2019-03-11,132.99,135.72,136.23,131.66,11.17,-0.02
2019-03-12,133.8,132.99,134.93,129.14,13.03,0.01
2019-03-13,131.97,133.81,133.84,131.2,9.59,-0.01
2019-03-14,132.45,131.97,134.82,130.48,9.79,0
2019-03-15,136.75,132.44,137.68,132.44,12.55,0.03
2019-03-16,141.15,136.77,143.95,136.75,16.89,0.03
2019-03-17,138.91,141.15,141.17,137.61,9.79,-0.02
2019-03-18,137.92,138.91,141.87,136.86,12.87,-0.01
2019-03-19,138.72,137.92,139.5,137.1,10.84,0.01
2019-03-20,139.31,138.72,139.75,136.56,10.46,0
2019-03-21,135.11,139.32,139.74,133.05,12.95,-0.03
2019-03-22,136.42,135.11,137.44,134.65,10.18,0.01
2019-03-23,137.53,136.42,138.3,135.76,9.16,0.01
2019-03-24,136.44,137.53,137.53,135.5,9.66,-0.01
2019-03-25,134.25,136.44,137.05,132.36,11.49,-0.02
2019-03-26,134.37,134.25,134.99,132.61,9.47,0
2019-03-27,139.65,134.37,140.08,133.89,15.47,0.04
2019-03-28,138.15,139.63,140.33,137.68,9.52,-0.01
2019-03-29,143.38,138.17,143.53,138.13,12.09,0.04
2019-03-30,142.65,143.38,145.85,140.43,12.81,-0.01
2019-03-31,141.79,142.65,142.69,140.71,9.33,-0.01
2019-04-01,141.5,141.77,143.28,140.26,11.85,0
2019-04-02,163.47,141.5,165.42,141.29,36.03,0.16
2019-04-03,160.34,163.47,177.29,152.24,47.66,-0.02
2019-04-04,157.43,160.34,164.33,153.26,13.55,-0.02
2019-04-05,164.93,157.43,167.34,156.42,10.06,0.05
2019-04-06,165.55,164.93,172.53,160.22,10.37,0
2019-04-07,174.33,165.58,175.37,164.17,9.88,0.05
2019-04-08,179.16,174.32,185.54,171.87,14.83,0.03
2019-04-09,175.09,179.16,179.24,172.15,10.82,-0.02
2019-04-10,177.37,175.09,183.49,171.61,12.1,0.01
2019-04-11,164.36,177.39,177.63,159.6,11.11,-0.07
2019-04-12,163.47,164.37,166.08,158.93,7.12,-0.01
2019-04-13,163.19,163.46,165.27,161.34,5.52,0
2019-04-14,167.29,163.19,168.18,161.52,5.89,0.03
2019-04-15,160.17,167.3,168.63,153.65,7.71,-0.04
2019-04-16,165.65,160.16,166.64,159.52,7.66,0.03
2019-04-17,165.9,165.61,167.21,164.26,7.56,0
2019-04-18,173.33,165.91,175.02,165.38,10.16,0.04
2019-04-19,172.79,173.34,173.41,169.15,9.26,0
2019-04-20,172.73,172.79,176.71,170.17,8.19,0
