Date,Price,Open,High,Low,Vol.,Change %
2019-03-01,0.3159,0.3141,0.3238,0.312,444.26,0.56%
2019-03-02,0.3141,0.3159,0.3182,0.3105,286.01,-0.56%
2019-03-03,0.3111,0.3141,0.3154,0.3089,273.79,-0.97%
2019-03-04,0.3025,0.3111,0.3121,0.2979,328.22,-2.76%
2019-03-05,0.3151,0.3025,0.3179,0.3013,391.02,4.19%
2019-03-06,0.3165,0.3151,0.3216,0.3103,402.06,0.43%
2019-03-07,0.3132,0.3165,0.3195,0.3129,373.33,-1.02%
2019-03-08,0.308,0.3132,0.3162,0.3052,292.33,-1.67%
2019-03-09,0.3139,0.308,0.3189,0.3075,411.92,1.90%
2019-03-10,0.313,0.3139,0.3169,0.3093,260.45,-0.30%
2019-03-11,0.3104,0.313,0.3145,0.308,310.57,-0.82%
2019-03-12,0.3104,0.3104,0.3116,0.3064,237.32,0.00%
2019-03-13,0.3138,0.3104,0.3252,0.3078,452.35,1.08%
2019-03-14,0.3115,0.3137,0.3168,0.3069,352.04,-0.71%
2019-03-15,0.3151,0.3115,0.3167,0.3112,295.02,1.13%
2019-03-16,0.3187,0.3151,0.3228,0.3149,413.37,1.16%
2019-03-17,0.3157,0.3187,0.319,0.3145,222.11,-0.95%
2019-03-18,0.3148,0.3157,0.3195,0.3124,312.31,-0.28%
2019-03-19,0.3159,0.3148,0.3162,0.3128,310.94,0.36%
2019-03-20,0.3178,0.3158,0.3223,0.3118,400.29,0.59%
2019-03-21,0.3101,0.3178,0.3191,0.3028,434.5,-2.41%
2019-03-22,0.3106,0.3101,0.3125,0.3074,286.22,0.15%
2019-03-23,0.3117,0.3105,0.3126,0.3092,235.98,0.37%
2019-03-24,0.3077,0.3117,0.3117,0.3054,291.97,-1.27%
2019-03-25,0.303,0.3077,0.308,0.3,405.39,-1.55%
2019-03-26,0.3028,0.303,0.3037,0.2941,375.75,-0.06%
2019-03-27,0.3104,0.3028,0.311,0.3006,467.14,2.50%
2019-03-28,0.3062,0.3104,0.3104,0.3045,287.91,-1.36%
2019-03-29,0.3078,0.3062,0.3101,0.3053,484.34,0.55%
2019-03-30,0.311,0.3079,0.3181,0.3073,587.27,1.04%
2019-03-31,0.3089,0.311,0.3116,0.3074,355.84,-0.69%
2019-04-01,0.3124,0.3089,0.3143,0.3078,498.48,1.15%
2019-04-02,0.3511,0.3124,0.3562,0.3116,1.66B,12.38%
2019-04-03,0.3406,0.3511,0.3704,0.3277,1.86B,-3.00%
2019-04-04,0.3301,0.3405,0.3466,0.3252,1.11B,-3.08%
2019-04-05,0.3615,0.3301,0.3794,0.3301,1.67B,9.52%
2019-04-06,0.3526,0.3616,0.3621,0.3467,1.01B,-2.48%
2019-04-07,0.3616,0.3526,0.3667,0.3508,902.79,2.56%
